read_index	read_name	fast5_path	model_name	strand	num_events	num_steps	num_skips	num_stays	total_duration	shift	scale	drift	var
0	e9162d40-66aa-4677-af1c-7b4c26397c09	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_6406_ch_307_strand.fast5		template	3769	1404	44	2320	25.99	0.677	1.002	0.0	1.2690000000000001
1	decfc830-9eb6-4a10-97fb-d117db06178d	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_423_ch_142_strand.fast5		template	3315	1446	30	1838	21.28	-0.6940000000000001	0.977	0.0	1.258
2	8b851fe5-552f-4140-abd0-1b88a04bd692	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_8833_ch_25_strand.fast5		template	4136	1442	35	2658	25.75	4.067	0.986	0.0	1.199
3	cba2ebf4-716a-4366-8228-879716f44317	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1079_ch_445_strand.fast5		template	4145	1429	34	2681	27.0	-0.033	1.01	0.0	1.203
4	c815b9e9-e074-41a8-bad1-f2896d129160	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_18114_ch_355_strand.fast5		template	3743	1422	38	2282	26.05	-2.392	0.929	0.0	1.24
5	1bff4c5e-77b8-468b-8fd2-433891adcefa	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_4271_ch_64_strand.fast5		template	3251	1411	40	1799	21.08	7.21	0.973	0.0	1.246
6	a36bf32b-d181-45eb-afe2-90e3b87833bc	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_2852_ch_356_strand.fast5		template	3430	1428	34	1967	21.95	-1.8130000000000002	0.9990000000000001	0.0	1.297
7	b0ffe409-b064-4289-b8a9-d23125ea9b57	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_15073_ch_15_strand.fast5		template	4009	1397	46	2565	26.37	6.955	0.997	0.0	1.2930000000000001
8	6c4adcc8-e80f-4a20-9c2e-75c43d1ed566	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_5566_ch_373_strand.fast5		template	3594	1419	36	2138	24.68	-2.318	0.9890000000000001	0.0	1.205
9	de216bc6-4a0c-4499-b97a-cf5500677ffa	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3424_ch_36_strand.fast5		template	2781	1385	49	1346	18.3	2.53	0.975	0.0	1.3719999999999999
